Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90160636,MMC- Clayton,2,0,0,0.77,1.33
90160647,Dandenong,1,0,0,2.72,1.33
90160650,Dandenong,3,0,0,2.72,1.33
90160655,Casey,1,0,0,1.97,1.33
90160699,MMC- Clayton,3,0,0,0.77,1.33
90160968,Dandenong,1,0,0,2.72,1.33
90161039,MMC- Clayton,21,0,0,0.77,1.33
90161091,MMC- Clayton,17,0,0,0.77,1.33
90161096,Casey,4,0,0,1.97,1.33
90161173,Casey,2,0,0,1.97,1.33
90161185,MMC- Clayton,1,0,0,0.77,1.33
90161376,MMC- Clayton,1,0,0,0.77,1.33
90161873,MMC- Clayton,19,0,0,0.77,1.33
90161944,Casey,4,0,0,1.97,1.33
90162065,Casey,17,2,11,1.97,1.33
90162077,MMC- Clayton,11,1,9,0.77,1.33
90162078,MMC- Clayton,13,0,0,0.77,1.33
90162079,MMC- Clayton,31,0,0,0.77,1.33
90162080,MMC- Clayton,5,0,0,0.77,1.33
90162081,MMC- Clayton,41,0,0,0.77,1.33
90162082,Casey,8,0,0,1.97,1.33
90162082,MMC- Clayton,9,0,0,0.77,1.33
90162251,MMC- Clayton,33,0,0,0.77,1.33
90162252,MMC- Clayton,27,0,0,0.77,1.33
90162330,MMC- Clayton,14,0,0,0.77,1.33
90162599,MMC- Clayton,37,0,0,0.77,1.33
90162759,MMC- Clayton,20,0,0,0.77,1.33
90162770,Casey,7,0,0,1.97,1.33
90162772,Dandenong,1,0,0,2.72,1.33
90162832,Casey,1,0,0,1.97,1.33
90162880,Casey,4,0,0,1.97,1.33
90162896,MMC- Clayton,13,1,7,0.77,1.33
90162925,Casey,17,0,0,1.97,1.33
